,Unnamed: 0,ID,Goal_Home,Goal_Away,Yellow_Home,Yellow_Away,Red_Card_Home,Red_Card_Away,Own_Home,Own_Away
1627,2219,2219,2,1,1,1,0,1,0,0
1654,2272,2272,1,3,0,3,1,0,0,0
1669,2307,2307,0,3,3,2,1,0,0,0
1677,2330,2330,0,3,1,2,1,0,0,0
1685,2344,2344,1,2,0,3,0,2,0,0
1694,2358,2358,0,2,1,3,0,1,0,0
1696,2364,2364,1,5,1,0,1,0,0,0
1704,2382,2382,0,1,1,2,1,0,0,0
1711,2391,2391,4,0,0,0,0,1,0,0
1738,2442,2442,1,3,3,4,0,1,0,0
1746,2460,2460,2,0,3,0,0,1,0,0
1747,2462,2462,0,0,0,1,1,0,0,0
1755,2489,2489,1,2,2,2,0,1,0,0
1761,2507,2507,1,0,1,2,1,0,1,1
1765,2515,2515,3,0,0,2,0,1,0,0
1766,2520,2520,1,1,1,1,1,0,0,0
1775,2539,2539,5,0,0,0,0,1,0,0
1778,2543,2543,2,0,2,3,0,1,0,0
1793,2573,2573,3,3,3,2,1,0,0,0
1810,2603,2603,2,2,2,1,1,0,0,0
1811,2604,2604,0,2,2,0,1,0,0,0
1815,2612,2612,0,3,2,0,1,0,0,0
1816,2614,2614,3,3,2,2,1,1,0,0
1821,2629,2629,1,0,2,1,0,1,0,0
1852,2685,2685,0,0,2,1,0,1,0,0
1857,2694,2694,4,0,2,1,1,0,0,0
1867,2713,2713,1,1,4,2,0,1,0,0
1872,2723,2723,3,0,1,3,0,1,0,0
1877,2738,2738,1,1,0,0,1,0,0,0
1891,2768,2768,3,0,1,1,0,1,0,0
1896,2773,2773,1,0,0,4,0,1,0,0
1899,2776,2776,0,1,3,1,1,0,0,0
1915,2798,2798,1,2,0,2,0,1,0,0
1926,2815,2815,2,2,0,0,0,1,0,0
1953,2876,2876,1,1,1,0,0,1,1,0
1956,2883,2883,0,3,3,4,1,0,0,0
1957,2884,2884,2,1,1,2,1,1,0,0
1958,2886,2886,1,2,3,2,1,0,0,0
1968,2911,2911,0,3,0,0,0,1,0,0
1973,2924,2924,1,0,3,1,1,0,0,0
1990,2961,2961,2,1,2,1,0,1,0,0
1996,2973,2973,0,0,2,2,0,1,0,0
2000,2982,2982,4,0,0,0,0,1,0,0
2013,3011,3011,2,1,2,0,1,0,0,1
2021,3026,3026,3,0,0,1,0,1,0,0
2029,3038,3038,0,5,0,2,1,0,0,0
2030,3039,3039,1,1,4,2,1,0,0,0
2034,3047,3047,1,1,1,1,1,0,0,0
2045,3065,3065,1,2,3,4,1,0,0,0
2052,3078,3078,0,0,1,5,0,1,1,0
2069,3100,3100,2,2,3,1,0,1,0,0
2080,3119,3119,0,2,1,1,1,0,0,0
2094,3143,3143,0,1,3,4,1,1,0,0
2096,3145,3145,1,1,3,2,1,0,0,1
2120,3187,3187,1,1,0,1,1,0,0,0
2138,3219,3219,1,0,0,3,0,1,0,0
2145,3235,3235,0,3,0,0,1,0,0,0
2179,3321,3321,2,3,1,1,1,0,0,1
2193,3346,3346,1,1,2,2,0,1,0,0
2194,3348,3348,1,3,1,1,1,0,0,0
2196,3351,3351,0,3,0,1,1,0,0,0
2209,3372,3372,4,1,2,1,0,1,0,0
2226,3395,3395,3,1,0,3,0,1,0,0
2248,3433,3433,2,0,1,1,0,1,0,0
2264,3458,3458,2,0,3,1,0,1,0,0
2285,3504,3504,2,1,1,3,0,1,0,0
2288,3508,3508,1,2,2,5,0,1,0,0
2300,3538,3538,0,2,3,1,1,0,0,0
2305,3550,3550,1,0,3,2,0,1,0,0
2325,3596,3596,2,1,3,3,0,1,0,0
2327,3599,3599,1,0,2,3,0,1,0,0
2332,3608,3608,3,0,1,2,0,1,0,0
2336,3614,3614,2,2,2,0,1,0,0,0
2339,3620,3620,3,1,3,3,0,1,0,0
2341,3624,3624,3,0,0,1,0,1,0,0
2344,3630,3630,1,4,2,3,1,0,0,0
2357,3670,3670,2,0,1,3,0,1,0,0
2358,3672,3672,0,3,3,2,1,0,0,0
2360,3677,3677,4,0,1,4,0,1,1,0
2361,3679,3679,2,1,1,0,1,2,0,0
2362,3685,3685,3,1,3,5,0,1,0,0
2368,3698,3698,1,0,2,1,1,0,0,0
2417,3794,3794,0,4,2,2,1,0,0,0
2420,3798,3798,1,0,2,5,0,1,0,0
2441,3853,3853,1,3,1,1,1,0,0,0
2449,3867,3867,1,0,3,3,0,1,0,0
2462,3897,3897,2,2,2,1,0,1,0,0
2463,3899,3899,0,1,4,2,0,1,0,0
2479,3936,3936,0,4,0,0,1,0,0,0
2481,3939,3939,3,0,0,0,0,1,0,0
2482,3942,3942,2,0,0,2,0,1,0,0
2491,3964,3964,2,1,1,4,0,1,0,0
2497,3978,3978,0,1,1,1,0,1,0,0
2498,3979,3979,3,0,0,1,0,1,0,0
2506,3995,3995,1,1,0,2,1,1,0,0
2512,4008,4008,0,2,1,1,1,0,0,0
2524,4027,4027,1,0,2,1,0,1,0,0
2540,4058,4058,3,3,2,5,0,1,0,0
2548,4080,4080,1,1,3,0,1,0,0,0
2553,4097,4097,3,0,0,0,0,1,0,0
2573,4139,4139,1,0,2,2,0,1,0,0
2575,4143,4143,0,0,0,4,0,1,0,0
2590,4175,4175,0,0,1,1,0,1,0,0
2607,4203,4203,0,1,2,3,1,0,0,0
2611,4214,4214,0,0,1,4,0,1,0,0
2612,4216,4216,0,1,3,2,1,0,0,0
2613,4219,4219,3,1,1,4,0,1,0,0
2622,4237,4237,0,3,2,2,1,0,0,0
2626,4244,4244,4,1,0,3,0,1,0,0
2644,4276,4276,2,1,3,2,0,1,0,0
2659,4308,4308,0,3,3,3,1,1,0,0
2694,4376,4376,0,0,2,1,1,1,0,0
2696,4380,4380,2,2,2,5,0,1,0,0
2703,4394,4394,1,0,1,2,0,1,0,0
2723,4430,4430,2,0,1,2,0,1,0,0
2729,4440,4440,0,0,1,2,0,1,0,0
2739,4460,4460,2,1,0,4,0,1,0,0
2746,4475,4475,1,1,4,2,0,1,0,0
2748,4482,4482,2,3,1,2,0,1,1,0
2757,4497,4497,2,0,1,2,0,1,0,0
2763,4508,4508,1,1,1,3,0,1,0,0
2794,4574,4574,1,2,0,2,1,0,0,0
2800,4582,4582,2,0,1,0,1,0,0,0
2804,4592,4592,2,0,0,0,0,1,0,0
2817,4626,4626,0,1,1,0,1,0,0,0
2821,4638,4638,1,0,2,2,0,1,0,0
2844,4696,4696,1,0,3,4,0,2,1,0
2849,4707,4707,4,2,2,0,0,1,0,0
2858,4722,4722,3,0,5,1,1,1,0,0
2863,4730,4730,1,0,3,1,0,2,0,0
2876,4765,4765,1,1,2,2,1,0,0,0
2879,4771,4771,0,1,1,2,1,0,0,0
2886,4785,4785,2,1,2,3,1,0,0,0
2887,4786,4786,5,5,3,3,0,1,0,0
2891,4800,4800,2,0,1,1,0,1,0,0
2926,4866,4866,1,0,3,5,0,1,0,0
2929,4872,4872,0,2,2,2,0,1,0,0
2951,4912,4912,3,0,1,2,1,0,0,0
2959,4931,4931,2,0,2,3,0,1,0,0
2967,4943,4943,1,2,1,1,0,1,0,0
2978,4961,4961,2,1,2,2,0,1,0,0
2989,4979,4979,1,1,2,2,1,0,0,0
2994,4991,4991,1,0,0,1,0,1,0,0
3004,5011,5011,3,2,1,4,0,1,0,0
3014,5035,5035,1,3,3,2,1,0,0,0
3034,5082,5082,3,0,0,1,0,1,0,0
3047,5106,5106,0,2,1,1,1,0,0,0
3058,5132,5132,1,3,2,2,0,1,0,0
3073,5157,5157,2,0,0,0,0,1,0,0
3077,5164,5164,0,3,2,1,0,1,0,0
3124,5253,5253,1,2,1,4,0,1,0,0
3129,5263,5263,0,4,3,2,1,0,0,0
3134,5271,5271,2,1,1,5,1,0,0,0
3148,5303,5303,3,0,2,8,0,1,0,0
3153,5315,5315,3,1,2,2,0,2,0,0
3156,5323,5323,1,1,1,1,1,1,0,0
3158,5330,5330,2,1,4,1,1,1,0,0
3180,5370,5370,0,0,1,2,0,1,0,0
3190,5396,5396,2,0,0,1,0,1,0,0
3217,5455,5455,1,4,2,0,1,0,0,0
3224,5466,5466,1,1,1,1,0,1,0,0
3227,5471,5471,0,2,2,2,1,0,0,0
3233,5477,5477,0,0,1,1,0,1,0,0
3246,5509,5509,1,1,1,4,0,1,0,0
3279,5570,5570,2,0,2,1,0,1,0,0
3306,5612,5612,0,1,1,4,0,1,0,0
3315,5629,5629,1,0,2,3,0,1,0,0
3316,5630,5630,1,2,0,1,0,1,0,0
3317,5633,5633,0,0,2,1,1,0,0,0
3326,5650,5650,1,3,1,1,1,0,0,0
3336,5672,5672,1,0,1,1,0,1,0,0
3356,5698,5698,1,0,1,1,0,1,1,0
3369,5720,5720,3,0,1,0,0,1,0,0
3378,5740,5740,1,1,1,1,0,1,0,0
3390,5759,5759,2,0,1,2,0,1,0,0
3393,5769,5769,0,1,1,2,1,0,0,0
3401,5781,5781,2,1,1,1,1,0,0,0
3418,5813,5813,0,0,1,1,0,1,0,0
3427,5825,5825,0,0,1,2,1,0,0,0
3438,5846,5846,3,0,3,2,0,1,0,0
3439,5848,5848,1,1,1,2,0,1,0,0
3441,5851,5851,1,2,4,0,1,0,0,0
3471,5907,5907,1,0,1,1,0,1,0,0
3472,5908,5908,0,2,2,0,1,0,0,0
3481,5922,5922,0,2,3,2,1,0,0,0
3494,5943,5943,2,0,1,2,0,1,0,0
3498,5950,5950,1,1,2,0,1,0,0,0
3499,5953,5953,0,2,4,0,1,0,0,0
3512,5978,5978,0,3,1,1,1,0,0,0
3514,5981,5981,2,3,2,3,0,1,0,0
3518,5988,5988,1,0,0,1,0,1,0,0
3537,6034,6034,1,0,3,0,0,1,0,1
3538,6035,6035,3,0,3,2,0,1,0,0
3543,6042,6042,2,0,0,0,0,1,1,0
3546,6045,6045,0,4,1,2,1,0,0,0
3553,6065,6065,1,0,1,4,0,1,0,0
3563,6081,6081,0,0,2,3,0,1,0,0
3566,6090,6090,1,3,1,3,1,0,0,0
3573,6104,6104,5,0,0,1,0,1,0,0
3576,6109,6109,2,0,1,3,0,2,0,0
3596,6139,6139,3,1,3,6,0,1,1,0
3620,6190,6190,2,1,1,2,0,1,0,0
3622,6200,6200,1,1,1,1,0,1,0,0
3633,6222,6222,1,0,2,2,1,1,0,0
3658,6267,6267,1,4,0,0,1,0,0,1
3668,6285,6285,2,1,4,3,0,1,0,0
3673,6297,6297,1,0,3,2,1,0,0,0
3689,6330,6330,0,2,4,3,1,0,0,0
3692,6336,6336,2,0,1,1,0,1,0,0
3696,6341,6341,3,0,2,4,0,1,0,0
3707,6374,6374,2,0,0,0,0,1,0,0
3710,6383,6383,2,2,1,2,1,0,0,0
3731,6437,6437,2,3,1,1,1,0,0,0
3742,6455,6455,0,0,2,2,1,0,0,0
3752,6471,6471,1,0,1,2,0,1,0,0
3774,6514,6514,3,0,0,3,1,1,0,0
3808,6582,6582,1,0,1,1,0,1,0,0
3829,6631,6631,2,1,4,3,0,1,0,0
3846,6665,6665,0,3,0,0,1,0,0,0
3849,6668,6668,1,2,2,2,0,1,0,0
3858,6685,6685,2,1,3,2,0,1,0,0
3859,6686,6686,0,1,2,3,1,0,0,0
3860,6687,6687,2,1,3,1,0,1,0,0
3865,6692,6692,0,4,1,1,1,0,0,0
3874,6701,6701,5,1,0,2,0,1,0,0
3875,6702,6702,1,0,0,2,0,1,0,0
3887,6714,6714,1,2,2,2,1,0,1,0
3898,6725,6725,1,0,3,4,0,1,0,0
3900,6727,6727,1,2,4,3,2,0,0,0
3901,6728,6728,2,1,1,1,0,1,0,0
3904,6731,6731,3,2,0,4,0,1,0,0
3907,6734,6734,2,2,0,2,1,0,0,0
3908,6735,6735,2,0,0,1,0,1,0,0
3925,6752,6752,4,0,1,3,0,1,0,0
3930,6757,6757,5,0,1,2,0,1,0,0
3939,6766,6766,1,0,2,1,1,0,0,0
3950,6777,6777,0,2,1,2,2,0,0,0
3958,6785,6785,1,0,2,2,1,1,0,1
3969,6796,6796,1,1,2,2,1,0,0,0
3986,6813,6813,0,2,1,2,0,1,1,0
4001,6828,6828,3,1,3,1,0,1,0,0
4004,6831,6831,1,1,2,3,1,0,0,0
4007,6834,6834,0,0,1,1,0,1,0,0
4020,6847,6847,1,0,1,4,0,1,0,0
4030,6857,6857,1,0,3,2,0,1,0,0
4039,6866,6866,1,1,1,1,0,1,0,0
4046,6873,6873,2,2,2,1,1,0,0,0
4047,6874,6874,1,1,2,1,1,0,0,0
4048,6875,6875,2,3,2,3,0,1,0,0
4051,6878,6878,2,0,1,3,0,1,0,0
4052,6879,6879,1,1,4,4,1,0,0,0
4057,6887,6887,0,1,3,6,0,1,0,0
4059,6889,6889,2,1,3,1,1,0,0,0
4061,6891,6891,2,1,1,2,0,1,0,0
4070,6900,6900,1,3,1,6,1,0,0,0
4077,6907,6907,2,1,0,1,0,1,0,0
4088,6918,6918,1,1,2,4,0,1,0,0
4090,6920,6920,3,2,1,1,1,0,0,0
4091,6921,6921,3,1,0,3,0,1,0,0
4092,6922,6922,3,2,1,2,0,1,0,0
4096,6926,6926,0,0,2,1,0,2,0,0
4109,6939,6939,1,1,2,2,1,0,0,0
4113,6943,6943,1,1,0,2,0,1,0,0
4115,6945,6945,2,0,2,2,0,1,0,0
4121,6951,6951,3,1,2,3,0,1,0,0
4128,6958,6958,1,1,1,3,0,1,0,1
4133,6963,6963,2,2,3,2,1,1,0,0
4136,6966,6966,0,1,3,1,1,0,0,0
4139,6969,6969,4,2,0,2,0,1,1,0
4144,6974,6974,1,0,2,2,0,1,0,1
4146,6976,6976,3,0,0,2,0,1,0,0
4154,6984,6984,2,0,2,2,1,0,0,0
4170,7000,7000,2,0,2,2,0,1,0,0
4177,7007,7007,3,2,2,2,0,1,0,0
4178,7008,7008,2,2,3,3,1,0,0,0
4184,7014,7014,1,0,2,1,0,1,0,0
4194,7024,7024,2,1,1,2,0,1,0,0
4198,7028,7028,1,1,5,2,0,1,0,0
4202,7032,7032,1,1,1,2,0,1,0,0
4203,7033,7033,2,0,3,1,0,1,0,1
4209,7039,7039,1,1,0,3,1,0,0,0
4228,7058,7058,2,3,0,2,1,0,0,0
4232,7062,7062,1,0,1,1,0,1,0,0
4234,7065,7065,0,2,4,3,0,2,0,0
4242,7073,7073,0,2,1,1,1,0,0,0
4246,7077,7077,0,3,2,0,1,0,0,0
4253,7084,7084,1,1,3,2,0,1,0,0
4257,7088,7088,3,1,3,2,0,1,1,0
4259,7090,7090,2,2,1,0,0,1,0,0
4273,7104,7104,1,2,0,1,0,1,0,0
4276,7107,7107,0,0,1,4,0,1,0,0
4301,7134,7134,3,1,0,3,0,1,0,0
4303,7136,7136,3,2,2,1,1,0,0,0
4321,7154,7154,2,1,2,1,0,1,0,0
4327,7160,7160,1,1,1,5,0,1,0,0
4344,7177,7177,3,1,3,4,0,1,0,0
4353,7186,7186,4,3,0,2,0,1,0,1
4360,7193,7193,1,2,4,2,1,0,0,0
4368,7201,7201,1,2,2,1,1,0,0,0
4382,7215,7215,1,1,2,2,0,1,1,0
4387,7220,7220,0,3,1,1,1,0,0,0
4396,7229,7229,1,0,1,1,0,1,0,0
4406,7239,7239,2,1,0,1,0,1,0,0
4414,7247,7247,0,1,0,2,0,1,0,0
4424,7257,7257,0,0,3,2,0,1,0,1
4429,7263,7263,2,1,1,4,0,1,1,0
4458,7293,7293,0,2,2,2,2,0,0,0
4461,7296,7296,0,4,1,1,1,0,0,0
4464,7299,7299,1,1,1,1,0,1,0,0
4466,7301,7301,0,0,2,3,0,1,0,0
4479,7314,7314,2,0,0,3,0,1,0,0
4490,7325,7325,5,0,0,0,0,1,0,0
4495,7330,7330,0,0,2,2,0,1,0,0
4501,7336,7336,1,2,1,1,1,0,0,0
4505,7340,7340,2,0,1,2,0,1,0,0
4506,7341,7341,1,1,2,3,0,1,0,0
4515,7350,7350,2,0,0,1,0,1,0,0
4526,7361,7361,6,2,1,1,1,0,0,0
4535,7370,7370,3,0,0,1,0,1,0,0
4549,7384,7384,0,1,4,3,1,0,0,0
4551,7386,7386,0,0,4,3,0,1,0,0
4555,7390,7390,0,2,4,2,1,0,0,0
4562,7397,7397,2,2,1,4,1,1,0,0
4565,7400,7400,1,3,2,2,1,0,0,0
4567,7402,7402,0,2,2,2,1,0,0,0
4569,7404,7404,2,2,5,5,1,1,0,0
4573,7408,7408,2,1,1,2,0,1,1,0
4591,7426,7426,2,2,2,4,0,1,0,0
4592,7427,7427,1,1,0,3,1,2,1,0
4597,7432,7432,0,4,2,1,0,1,0,0
4600,7435,7435,0,3,2,1,1,0,0,0
4602,7437,7437,2,1,1,3,1,1,0,0
4608,7443,7443,2,1,2,1,0,1,0,0
4610,7445,7445,3,2,2,1,1,0,0,0
4624,7459,7459,1,3,2,2,1,1,0,0
4626,7461,7461,2,2,3,1,1,1,0,0
4627,7462,7462,2,0,3,1,0,1,0,0
4629,7464,7464,1,0,1,5,0,1,0,0
4633,7468,7468,0,4,0,2,1,0,0,0
4637,7472,7472,2,0,1,3,1,0,0,0
4655,7491,7491,1,0,3,2,0,2,0,0
4670,7507,7507,1,1,1,2,1,1,0,0
4673,7510,7510,3,1,0,2,0,1,0,0
4686,7523,7523,0,3,1,2,3,0,0,0
4688,7525,7525,2,1,1,4,1,0,0,0
4692,7529,7529,1,4,0,0,1,0,0,0
4706,7543,7543,0,0,5,4,1,0,0,0
4711,7548,7548,2,3,2,2,1,0,0,0
4718,7555,7555,1,1,1,1,1,1,0,0
4726,7563,7563,0,1,1,2,1,0,0,0
4732,7569,7569,1,0,1,2,1,0,0,0
4742,7579,7579,2,4,2,4,0,1,0,0
4743,7580,7580,3,1,0,2,0,1,0,0
4746,7583,7583,2,2,1,0,0,1,0,0
4764,7601,7601,0,1,2,6,2,0,0,0
4766,7603,7603,0,1,2,4,0,1,0,0
4783,7620,7620,1,1,3,0,0,1,0,0
4791,7628,7628,2,0,0,0,0,1,0,0
4793,7630,7630,1,0,0,0,0,1,0,1
4797,7634,7634,0,5,0,0,1,0,0,0
4800,7637,7637,2,1,1,2,0,1,0,0
4809,7646,7646,2,1,0,3,0,1,1,0
4821,7658,7658,0,0,3,3,0,1,0,0
4838,7676,7676,2,0,1,2,0,1,0,0
4840,7678,7678,2,0,1,1,0,1,0,0
4846,7684,7684,0,2,2,1,1,0,0,0
4859,7697,7697,0,1,0,1,1,0,0,0
