,ID,Goal_Home,Goal_Away,Yellow_Home,Yellow_Away,Red_Card_Home,Red_Card_Away,Own_Home,Own_Away
179,179,1,0,2,4,0,0,0,0
180,180,1,1,1,0,0,0,0,0
181,181,2,2,2,2,0,0,0,0
182,182,2,3,2,3,0,0,0,0
183,183,2,1,0,3,0,0,0,0
184,184,1,0,3,3,0,0,0,0
185,185,1,1,3,3,0,0,0,0
186,186,1,1,1,0,0,0,0,0
187,187,0,0,0,1,0,0,0,0
188,188,3,0,0,0,0,0,0,0
189,189,2,1,1,0,0,0,0,0
190,190,1,0,1,0,0,0,0,0
191,191,1,1,1,2,0,0,0,0
192,192,0,5,0,0,0,0,0,1
193,193,1,1,2,3,0,0,0,0
194,194,2,2,1,3,0,0,0,0
195,195,1,1,3,1,0,1,0,0
196,196,0,2,1,1,0,0,0,0
197,197,1,1,0,3,0,0,0,0
198,198,0,2,1,1,0,0,0,0
199,199,1,0,0,1,0,0,0,0
200,200,2,1,1,3,0,0,0,0
201,201,0,2,2,2,0,1,0,0
202,202,1,0,0,1,0,0,0,0
203,203,3,4,0,2,0,0,0,0
204,204,2,1,1,0,0,1,0,0
205,205,1,1,1,2,0,0,0,0
206,206,1,2,1,2,0,0,0,1
207,207,0,1,2,2,0,0,0,0
208,208,2,1,1,1,0,0,0,0
209,209,1,0,2,0,0,0,0,0
210,210,3,0,0,3,0,2,0,0
211,211,1,0,0,1,0,0,0,0
212,212,4,1,1,3,0,0,0,0
213,213,1,0,2,2,0,0,0,0
214,214,1,0,2,2,0,0,0,0
215,215,1,1,2,2,0,0,0,0
216,216,0,4,0,1,0,0,0,0
217,217,1,5,0,2,0,0,0,0
218,218,0,1,2,2,0,1,0,0
219,219,2,0,1,0,0,0,0,0
220,220,2,0,1,4,0,0,0,0
221,221,0,2,1,0,0,0,0,0
222,222,2,2,2,3,0,0,0,0
223,223,1,2,0,0,0,0,0,0
224,224,1,2,1,1,0,0,0,0
225,225,0,0,1,1,0,0,1,0
226,226,2,2,2,3,0,0,0,0
227,227,2,0,4,4,0,1,0,0
228,228,2,1,3,1,0,0,0,0
229,229,0,1,2,0,0,0,0,0
230,230,1,1,1,4,0,0,0,0
231,231,0,0,2,1,0,0,0,0
232,232,0,0,1,0,0,0,0,0
233,233,2,0,0,0,0,0,0,0
234,234,0,2,1,1,0,0,0,0
235,235,1,0,0,0,0,0,0,0
236,236,1,2,0,2,0,0,0,0
237,237,2,1,1,2,0,0,0,0
238,238,0,0,0,1,0,0,0,0
239,239,1,1,0,0,0,0,0,0
240,240,4,2,0,0,0,0,0,0
241,241,0,0,2,0,0,0,0,0
242,242,3,2,2,1,0,0,0,0
243,243,4,2,2,0,0,1,0,0
244,244,1,1,0,3,0,0,0,0
245,245,2,2,1,1,0,0,0,0
246,246,1,1,0,3,0,0,0,0
247,247,1,2,3,3,0,0,0,0
248,248,0,1,4,3,1,0,0,0
249,249,0,3,1,2,1,0,0,1
250,250,0,0,5,2,0,0,0,0
251,251,0,0,0,2,0,0,0,0
252,252,0,3,0,0,0,0,0,0
253,253,2,0,3,1,0,2,0,0
254,254,4,0,0,0,0,0,0,0
255,255,2,1,1,2,0,0,0,0
256,256,1,1,1,4,0,0,0,0
257,257,1,1,1,3,0,0,1,0
258,258,1,1,2,0,0,0,0,0
259,259,3,0,0,3,0,0,0,0
260,260,3,0,0,1,0,0,0,0
261,261,2,1,0,2,0,0,0,0
262,262,2,1,1,0,0,0,0,0
263,263,1,0,1,1,0,0,0,0
264,264,0,0,0,2,0,0,0,0
265,265,0,0,1,2,1,0,0,1
266,266,2,1,2,0,0,0,0,0
267,267,0,1,1,4,0,0,1,0
268,268,2,3,0,2,0,0,0,0
269,269,2,2,1,3,0,0,0,0
270,270,2,1,1,3,0,0,0,0
271,271,1,2,1,0,0,0,0,0
272,272,2,2,1,1,0,1,0,0
273,273,3,0,0,2,0,1,0,0
274,274,3,0,4,1,0,0,0,0
275,275,4,2,0,1,0,0,0,0
276,276,1,1,0,1,1,0,0,0
277,277,3,0,2,3,1,0,0,0
278,278,0,1,0,2,1,0,0,0
279,279,1,0,0,2,0,1,0,0
280,280,2,2,1,1,0,0,0,0
281,281,1,2,1,1,0,0,0,0
282,282,1,0,1,3,0,0,0,0
283,283,3,0,2,3,0,0,0,0
284,284,1,1,3,2,0,0,0,0
285,285,10,4,1,3,0,0,0,0
286,286,1,1,2,5,0,0,0,0
287,287,0,4,1,1,0,0,0,0
288,288,2,2,2,1,0,0,0,0
290,290,4,0,1,0,2,0,0,0
291,291,4,2,2,2,0,1,0,0
292,292,1,3,2,0,0,0,0,0
293,293,2,0,2,1,0,0,0,0
294,294,8,2,1,1,0,0,0,0
295,295,0,1,1,2,0,0,0,1
296,296,1,2,1,0,0,0,0,0
297,297,2,0,1,2,0,0,0,0
298,298,2,2,3,3,0,0,0,0
299,299,4,1,1,5,0,0,0,0
300,300,2,3,3,3,0,0,0,0
301,301,1,1,3,3,0,0,0,0
302,302,4,0,0,1,1,1,0,0
303,303,3,0,1,1,0,0,0,0
304,304,1,2,3,1,1,0,0,0
305,305,1,2,2,3,0,0,0,0
306,306,2,0,3,2,0,0,0,0
307,307,2,0,1,2,0,0,0,0
308,308,3,0,0,0,0,0,0,0
309,309,1,0,1,0,0,0,0,0
310,310,2,1,0,0,0,0,0,0
311,311,0,0,0,2,0,0,0,0
312,312,1,0,3,3,0,0,0,0
313,313,2,0,3,2,0,0,0,0
314,314,2,3,0,3,0,0,0,0
315,315,5,1,0,1,0,0,0,0
316,316,1,0,3,2,0,0,0,0
317,317,0,2,1,3,1,0,0,0
318,318,1,0,2,0,0,0,0,0
319,319,0,0,0,4,0,0,0,0
320,320,1,3,2,2,0,0,0,0
321,321,1,1,0,2,0,0,0,0
322,322,3,0,0,2,0,0,0,0
323,323,1,1,3,2,0,0,0,0
324,324,1,0,2,2,0,0,0,0
325,325,1,1,2,5,0,0,0,1
326,326,2,1,4,3,0,0,0,0
327,327,3,2,1,1,0,0,0,0
328,328,1,3,1,1,0,0,0,0
329,329,1,0,0,2,0,0,0,0
330,330,4,1,3,3,0,1,0,0
331,331,2,1,1,1,0,0,0,0
333,333,3,0,1,2,0,1,0,0
334,334,1,0,1,2,0,0,0,0
335,335,2,2,0,0,0,0,0,0
336,336,0,0,2,0,0,0,0,0
337,337,2,1,2,3,0,0,0,0
338,338,0,0,3,4,0,0,0,0
339,339,0,1,0,1,0,0,0,1
340,340,1,2,0,4,0,0,0,0
341,341,3,2,1,4,1,1,0,0
342,342,1,0,3,0,0,0,0,0
343,343,2,0,0,1,0,0,0,0
344,344,0,2,0,3,0,0,0,0
345,345,1,0,2,1,0,0,0,0
346,346,3,2,1,2,1,0,0,0
347,347,1,1,2,2,0,0,0,0
348,348,1,0,1,1,0,0,0,0
349,349,0,1,1,1,0,0,0,0
350,350,1,1,1,3,0,0,0,0
351,351,3,0,0,1,0,0,0,1
352,352,1,1,1,3,0,0,0,0
353,353,1,0,3,2,0,0,0,0
354,354,3,3,1,1,0,1,0,0
355,355,3,2,2,3,0,0,0,0
356,356,2,0,3,2,0,0,0,0
357,357,1,2,2,3,0,0,0,1
358,358,3,1,0,1,0,0,0,0
359,359,2,0,2,3,0,0,0,0
360,360,0,1,2,0,0,0,0,0
361,361,0,0,2,2,0,0,0,0
362,362,2,3,3,2,1,0,0,0
363,363,2,4,0,1,0,0,0,0
364,364,0,2,2,1,0,0,0,0
365,365,1,1,1,0,0,0,0,0
366,366,2,2,0,3,0,0,0,0
367,367,0,1,1,2,0,0,0,0
368,368,3,2,2,0,0,0,0,0
369,369,1,1,0,1,0,0,0,0
370,370,0,2,3,3,0,0,0,0
371,371,2,1,1,4,0,1,0,1
372,372,1,1,2,1,0,0,0,0
373,373,2,0,1,2,0,0,0,1
374,374,1,1,2,1,1,1,0,0
375,375,1,2,1,0,0,0,0,0
376,376,0,2,3,4,0,0,0,0
377,377,0,1,3,2,0,0,0,0
378,378,2,0,1,2,0,0,0,0
379,379,0,2,2,2,0,0,0,0
380,380,0,1,1,4,0,0,1,0
381,381,2,3,1,4,0,0,0,0
382,382,2,1,1,2,0,0,0,0
383,383,0,1,2,2,0,0,0,0
384,384,1,1,0,1,0,0,1,0
385,385,2,2,1,1,1,0,0,0
386,386,3,1,2,3,1,0,0,0
387,387,1,2,2,3,0,0,0,0
388,388,1,1,0,0,0,0,0,0
389,389,1,1,3,1,0,0,0,0
390,390,3,1,1,4,0,0,0,0
391,391,0,3,1,1,0,0,0,0
392,392,4,1,4,2,0,0,0,0
393,393,2,0,0,1,0,0,0,0
394,394,1,0,1,1,0,0,0,0
395,395,1,2,0,0,0,0,0,0
396,396,2,1,0,1,0,0,0,0
397,397,1,1,3,3,0,0,0,0
398,398,4,3,1,0,0,0,0,0
399,399,1,4,0,1,0,0,0,0
400,400,0,1,0,0,0,0,0,0
401,401,0,4,1,0,0,0,0,0
402,402,2,0,1,1,0,0,0,0
403,403,0,4,3,1,1,0,0,0
404,404,3,0,1,1,0,0,0,0
405,405,1,2,4,1,0,0,0,0
406,406,2,0,0,1,0,0,0,0
407,407,1,0,0,2,0,0,0,0
408,408,2,0,0,1,0,0,0,0
409,409,4,3,4,1,0,0,0,0
410,410,2,0,1,1,0,0,0,0
411,411,0,2,2,1,0,0,0,0
412,412,1,1,2,4,0,0,0,0
413,413,1,0,1,2,0,0,0,0
414,414,3,0,1,0,0,0,0,0
415,415,1,2,2,0,0,0,0,0
416,416,2,3,3,2,0,0,0,0
417,417,0,1,2,1,0,0,0,0
418,418,1,2,1,0,0,0,0,0
419,419,0,1,3,2,0,0,0,0
420,420,1,2,0,0,0,0,0,0
421,421,1,0,1,1,0,0,0,0
422,422,2,3,1,1,0,0,0,0
423,423,0,0,4,3,0,0,0,0
424,424,2,1,0,1,0,0,0,0
425,425,1,2,0,0,0,0,0,0
426,426,3,1,2,2,0,0,0,0
427,427,0,1,0,1,1,0,0,0
428,428,3,0,0,5,0,1,0,0
429,429,1,2,0,1,0,0,0,0
430,430,1,1,1,2,0,0,0,0
431,431,3,2,3,1,0,0,0,0
432,432,0,0,2,3,0,0,0,0
433,433,0,1,1,3,0,0,0,0
435,435,3,2,3,0,0,0,0,0
436,436,1,3,1,1,0,0,0,0
437,437,1,2,2,4,0,1,0,0
438,438,0,3,1,1,0,0,0,0
439,439,1,2,2,2,0,0,0,0
440,440,1,1,2,3,0,0,0,0
441,441,0,0,3,2,0,0,0,0
442,442,2,1,1,3,0,1,0,0
443,443,3,1,1,0,0,0,0,0
444,444,2,2,3,1,1,0,0,0
445,445,1,1,2,1,0,1,0,0
446,446,1,1,2,5,1,0,0,0
447,447,0,1,2,1,0,0,0,0
448,448,0,0,1,0,0,0,0,0
449,449,0,0,1,1,0,0,0,0
450,450,1,0,2,3,1,1,0,0
451,451,4,0,0,1,0,0,0,0
452,452,0,0,2,1,0,0,0,0
453,453,2,1,1,1,0,0,0,0
454,454,3,1,1,4,0,0,0,0
455,455,4,6,0,1,0,0,0,0
456,456,4,3,4,0,0,1,0,0
457,457,1,1,1,2,0,0,0,0
458,458,3,1,2,1,0,0,0,0
459,459,0,0,0,1,0,0,0,0
460,460,2,3,0,3,0,0,0,0
461,461,0,0,3,2,0,0,0,0
462,462,1,2,1,2,0,0,0,0
463,463,5,0,2,2,0,1,0,0
464,464,1,0,3,0,1,1,0,0
465,465,0,2,2,2,0,0,0,0
466,466,3,1,3,2,0,0,0,0
467,467,3,0,0,2,0,0,0,0
468,468,3,0,4,3,1,0,0,0
469,469,1,1,1,0,0,0,0,0
470,470,3,0,2,0,0,0,0,1
471,471,2,1,1,2,0,1,0,0
472,472,6,1,3,4,0,1,0,0
473,473,0,0,2,0,0,0,0,0
474,474,1,1,1,2,0,0,0,0
475,475,1,2,1,3,0,0,0,0
476,476,0,0,3,4,0,0,0,0
477,477,1,0,1,1,0,0,1,0
478,478,0,2,2,2,0,0,0,0
479,479,3,1,2,1,0,1,0,0
480,480,1,6,2,2,0,0,0,0
481,481,0,1,2,0,0,0,0,0
482,482,1,0,2,2,0,0,0,0
483,483,2,0,3,1,0,0,0,0
484,484,0,0,0,1,0,0,0,0
485,485,4,1,2,1,0,0,0,0
486,486,4,2,1,3,0,0,1,0
487,487,0,2,1,2,0,0,0,0
488,488,3,1,0,2,0,0,0,0
489,489,2,0,1,2,0,0,0,0
490,490,0,3,3,0,0,0,0,0
491,491,2,1,0,1,0,0,0,0
492,492,2,1,0,3,0,0,0,0
493,493,0,0,2,3,0,0,0,0
494,494,1,2,1,0,0,0,0,0
495,495,0,4,1,0,0,0,0,0
496,496,2,1,2,2,0,0,0,0
497,497,4,3,2,3,0,1,0,0
498,498,2,0,0,0,0,0,0,0
499,499,2,1,2,1,0,0,0,0
500,500,1,1,2,2,0,0,1,0
501,501,1,1,1,3,0,0,0,0
502,502,0,0,1,0,0,0,0,0
503,503,3,0,0,1,0,0,0,0
504,504,3,0,2,4,0,0,0,0
505,505,0,2,2,2,0,0,0,0
506,506,2,2,1,3,0,0,0,0
507,507,0,1,1,1,0,0,0,0
508,508,1,1,3,1,0,0,0,0
509,509,1,2,1,0,0,0,0,0
510,510,2,0,1,2,0,0,0,0
511,511,2,2,1,2,0,0,0,0
512,512,3,1,0,4,0,0,0,0
513,513,2,0,0,1,0,0,0,0
514,514,2,1,1,1,0,1,1,0
515,515,1,1,2,0,0,0,0,0
516,516,0,1,1,0,0,0,0,1
517,517,3,0,0,0,0,0,0,0
518,518,1,0,2,1,0,0,0,0
519,519,1,0,3,3,1,1,0,0
520,520,0,1,1,3,0,0,0,0
521,521,1,0,2,0,0,0,0,0
522,522,3,3,0,1,0,0,0,0
523,523,3,0,2,0,0,0,0,0
524,524,4,0,1,1,0,0,0,0
525,525,1,2,2,2,1,1,0,0
526,526,0,0,2,1,0,0,0,0
527,527,1,0,2,1,0,0,1,0
528,528,1,0,2,3,0,0,0,0
529,529,2,0,1,0,0,0,0,0
530,530,1,1,2,2,0,0,0,0
531,531,3,0,0,0,0,0,0,1
532,532,2,1,3,2,0,0,0,0
533,533,1,1,3,2,0,0,0,0
534,534,0,0,3,2,0,0,1,0
535,535,1,2,2,1,0,0,0,0
536,536,1,1,1,2,0,0,0,0
537,537,1,1,0,2,0,1,0,0
538,538,0,0,2,3,0,0,0,0
539,539,4,0,0,0,0,0,0,0
540,540,1,1,0,0,0,0,0,0
541,541,0,1,1,1,0,0,0,0
542,542,0,3,2,3,0,0,0,0
543,543,4,0,0,1,0,0,0,0
544,544,2,2,1,0,0,0,0,0
545,545,1,1,1,2,0,1,0,0
546,546,1,2,3,2,0,0,0,0
547,547,0,3,1,1,1,1,0,0
548,548,1,0,2,1,0,0,0,0
549,549,2,0,1,1,0,0,0,0
550,550,3,2,0,0,0,0,0,0
551,551,2,0,2,0,0,0,0,0
552,552,1,3,1,3,0,0,0,0
553,553,0,2,4,3,0,1,0,0
554,554,4,0,1,2,0,0,0,0
555,555,1,2,0,2,0,0,0,0
556,556,2,3,0,1,0,0,0,0
557,557,1,2,0,1,0,0,0,0
559,559,3,0,1,3,0,0,0,0
560,560,0,0,0,0,0,0,1,0
561,561,0,2,0,4,0,0,0,0
562,562,0,0,1,3,0,0,0,0
563,563,2,0,1,1,0,0,0,0
564,564,1,1,1,1,0,0,0,0
565,565,1,2,2,2,0,0,0,0
566,566,1,1,0,1,0,0,0,0
567,567,2,3,0,1,0,0,0,0
568,568,1,2,2,1,0,0,0,0
569,569,2,2,2,1,0,0,0,0
570,570,2,0,1,2,0,0,0,0
571,571,4,0,0,0,0,0,0,0
572,572,2,1,1,2,0,0,0,0
573,573,2,1,1,0,0,0,0,0
574,574,1,2,0,1,0,0,0,0
576,576,4,0,1,1,0,0,0,0
577,577,1,1,2,3,0,0,0,0
578,578,2,0,0,3,0,0,0,0
579,579,0,2,0,0,1,0,0,0
580,580,1,1,3,1,0,0,1,0
581,581,0,3,0,0,0,0,0,0
582,582,2,2,2,2,0,0,0,0
583,583,1,2,3,1,0,0,0,0
584,584,2,2,0,0,1,0,0,0
585,585,1,1,1,1,0,0,0,0
587,587,1,0,1,2,0,0,0,0
588,588,2,2,1,3,0,0,0,0
589,589,1,1,4,2,0,0,0,0
590,590,2,0,1,1,0,0,0,0
591,591,0,1,1,5,0,0,0,0
592,592,3,1,0,1,0,0,0,0
593,593,1,1,0,1,0,0,0,0
594,594,0,0,0,1,0,0,0,0
595,595,0,0,0,1,0,0,0,0
596,596,1,3,0,0,0,0,0,0
597,597,2,1,1,0,0,0,0,0
598,598,0,1,0,2,0,0,0,0
599,599,2,2,2,0,0,0,0,0
600,600,1,1,1,2,0,0,0,0
601,601,1,1,2,3,0,0,0,0
602,602,0,1,1,1,0,0,0,0
603,603,3,4,0,0,1,0,0,0
604,604,4,1,0,2,0,0,0,0
605,605,2,1,1,2,0,0,0,0
606,606,0,0,0,1,0,0,0,0
607,607,1,1,1,1,1,0,0,0
608,608,5,0,1,1,0,0,1,0
610,610,0,1,2,3,0,0,0,0
611,611,0,1,0,1,0,0,0,0
613,613,1,1,0,2,1,0,0,0
614,614,3,0,2,0,1,0,0,1
615,615,1,1,3,4,0,0,0,0
616,616,0,2,1,0,0,0,0,0
617,617,1,2,1,2,0,0,0,0
618,618,2,1,2,0,0,0,0,0
619,619,1,2,0,1,0,0,0,0
620,620,0,2,3,1,1,0,0,0
621,621,0,1,1,0,0,1,0,0
622,622,0,1,2,1,0,0,0,0
623,623,3,1,1,2,0,0,0,0
624,624,2,2,2,0,0,0,0,0
625,625,0,0,1,0,0,0,0,0
626,626,4,0,0,1,0,0,0,0
627,627,0,2,1,3,0,0,0,0
628,628,2,0,1,3,0,0,0,0
629,629,2,2,2,5,0,0,0,0
630,630,0,4,2,1,0,0,0,0
631,631,1,0,5,2,0,0,0,0
632,632,0,2,3,0,0,0,0,0
633,633,2,0,0,3,0,1,0,0
634,634,1,3,2,2,0,0,0,0
635,635,3,0,1,1,0,0,0,0
636,636,1,1,2,4,0,0,0,0
637,637,1,1,1,1,0,0,0,0
638,638,0,3,2,2,0,0,0,0
639,639,0,1,2,2,0,0,0,1
640,640,1,0,2,0,0,0,0,0
641,641,0,2,2,0,1,0,0,0
642,642,1,0,1,2,0,0,0,0
643,643,1,5,3,3,0,0,0,0
644,644,2,4,1,1,0,0,0,0
645,645,0,0,1,3,0,0,0,0
646,646,1,3,1,1,0,0,0,0
648,648,1,1,1,1,0,0,0,0
649,649,0,0,1,1,0,0,0,0
650,650,0,2,1,0,0,0,0,0
651,651,2,0,1,3,0,0,0,0
652,652,1,1,0,0,0,0,0,0
653,653,1,0,3,3,1,0,0,0
654,654,2,2,1,3,0,0,0,0
655,655,2,0,2,1,0,0,0,0
656,656,3,2,1,1,0,0,0,0
657,657,2,1,0,0,1,0,0,0
658,658,1,1,2,1,0,1,0,0
659,659,0,1,2,2,0,0,0,0
660,660,1,1,1,4,0,1,0,0
661,661,3,1,0,1,0,0,0,0
662,662,2,0,1,3,0,0,0,0
663,663,2,1,0,0,0,0,0,0
668,668,2,0,1,3,0,0,0,0
670,670,0,3,1,1,0,0,0,0
671,671,0,1,0,1,0,0,0,1
673,673,3,1,0,0,0,0,0,0
675,675,0,1,0,0,0,0,1,0
676,676,0,0,0,3,0,0,0,0
677,677,0,4,2,1,0,0,0,0
678,678,3,0,2,1,0,0,0,0
679,679,3,1,2,0,0,1,0,0
681,681,1,2,1,0,0,0,0,0
682,682,3,2,0,1,0,0,0,0
683,683,1,1,2,0,0,0,0,0
684,684,1,3,1,0,0,0,1,0
685,685,0,0,2,2,0,0,0,0
686,686,0,0,3,0,0,0,0,0
687,687,0,2,2,1,0,0,0,1
691,691,0,2,0,2,1,0,0,0
693,693,2,0,0,2,0,0,0,0
694,694,1,1,2,2,0,1,0,0
695,695,1,2,1,2,0,0,0,0
696,696,2,2,2,1,0,0,0,0
697,697,3,1,1,2,0,0,0,0
698,698,3,1,1,1,0,0,0,0
699,699,3,1,1,1,0,0,0,0
700,700,2,0,0,1,0,0,0,0
701,701,1,1,0,0,0,0,0,0
702,702,1,1,2,0,0,1,0,0
703,703,2,2,1,3,0,0,0,0
705,705,1,0,0,0,0,0,0,0
707,707,1,1,3,1,0,0,0,0
708,708,2,1,1,1,0,0,0,0
709,709,0,0,1,1,0,0,0,0
711,711,1,2,0,2,0,0,0,0
712,712,0,3,1,1,0,0,0,0
713,713,1,1,1,1,0,0,0,0
714,714,0,2,0,0,0,0,0,0
715,715,0,1,1,1,0,0,0,0
716,716,1,1,1,2,0,0,0,0
717,717,2,2,3,0,0,0,0,0
718,718,1,0,1,2,0,0,0,0
719,719,1,1,3,2,0,0,0,0
720,720,3,0,3,4,0,0,0,0
721,721,2,0,1,1,1,0,0,0
722,722,1,2,1,1,0,0,0,0
723,723,1,3,4,5,0,1,0,0
724,724,3,1,1,1,0,0,0,1
725,725,1,1,0,2,0,0,0,0
726,726,1,2,0,1,0,0,0,0
727,727,3,0,1,2,0,0,0,0
728,728,1,3,3,2,0,0,0,0
729,729,1,3,0,0,0,0,0,0
730,730,1,0,1,0,0,0,0,0
731,731,1,1,2,3,0,0,0,0
732,732,0,2,1,0,0,0,0,0
733,733,0,0,0,2,0,0,0,0
734,734,0,3,0,2,0,0,0,0
735,735,0,0,1,0,0,0,0,0
736,736,0,1,1,2,0,0,0,0
737,737,0,0,2,0,0,0,0,0
738,738,1,4,1,2,0,1,0,0
739,739,1,2,2,2,0,0,0,1
742,742,4,0,0,2,0,0,0,0
743,743,3,0,2,0,0,0,0,0
745,745,2,0,0,0,0,0,0,0
746,746,3,0,0,1,0,0,0,0
747,747,4,0,1,1,0,0,0,0
748,748,1,0,3,5,0,0,0,0
749,749,0,0,1,0,0,0,0,0
751,751,2,2,7,2,0,0,0,0
